activity_id,student_id,student_name,mentor_id,mentor_name,activity_type,readiness_area,activity_date,score_before,score_before_date,score_after,score_after_date,readiness_improvement
assessment_59,20,student15,4,mentor3,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,64,2026-06-23 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,3
assessment_60,20,student15,4,mentor3,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,55,2026-06-23 23:43:54.709071+00,60,2026-07-15 23:43:54.709071+00,5
assessment_61,21,student16,5,mentor4,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,65,2026-06-01 23:43:54.709071+00,65,2026-06-23 23:43:54.709071+00,0
assessment_62,21,student16,5,mentor4,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,58,2026-06-01 23:43:54.709071+00,60,2026-06-23 23:43:54.709071+00,2
assessment_63,21,student16,5,mentor4,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,65,2026-06-23 23:43:54.709071+00,71,2026-07-15 23:43:54.709071+00,6
assessment_64,21,student16,5,mentor4,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,60,2026-06-23 23:43:54.709071+00,72,2026-07-15 23:43:54.709071+00,12
assessment_65,22,student17,2,mentor1,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,62,2026-06-01 23:43:54.709071+00,68,2026-06-23 23:43:54.709071+00,6
assessment_66,22,student17,2,mentor1,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,63,2026-06-01 23:43:54.709071+00,65,2026-06-23 23:43:54.709071+00,2
assessment_67,22,student17,2,mentor1,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,68,2026-06-23 23:43:54.709071+00,69,2026-07-15 23:43:54.709071+00,1
assessment_68,22,student17,2,mentor1,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,65,2026-06-23 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,3
assessment_69,23,student18,3,mentor2,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,64,2026-06-01 23:43:54.709071+00,68,2026-06-23 23:43:54.709071+00,4
assessment_70,23,student18,3,mentor2,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,65,2026-06-01 23:43:54.709071+00,73,2026-06-23 23:43:54.709071+00,8
assessment_71,23,student18,3,mentor2,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,68,2026-06-23 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,0
assessment_72,23,student18,3,mentor2,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,73,2026-06-23 23:43:54.709071+00,70,2026-07-15 23:43:54.709071+00,-3
assessment_73,24,student19,4,mentor3,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,71,2026-06-01 23:43:54.709071+00,72,2026-06-23 23:43:54.709071+00,1
assessment_74,24,student19,4,mentor3,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,63,2026-06-01 23:43:54.709071+00,72,2026-06-23 23:43:54.709071+00,9
assessment_75,24,student19,4,mentor3,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,72,2026-06-23 23:43:54.709071+00,80,2026-07-15 23:43:54.709071+00,8
assessment_76,24,student19,4,mentor3,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,72,2026-06-23 23:43:54.709071+00,79,2026-07-15 23:43:54.709071+00,7
assessment_77,25,student20,5,mentor4,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,46,2026-06-01 23:43:54.709071+00,46,2026-06-23 23:43:54.709071+00,0
assessment_78,25,student20,5,mentor4,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,42,2026-06-01 23:43:54.709071+00,47,2026-06-23 23:43:54.709071+00,5
assessment_79,25,student20,5,mentor4,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,46,2026-06-23 23:43:54.709071+00,49,2026-07-15 23:43:54.709071+00,3
assessment_80,25,student20,5,mentor4,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,47,2026-06-23 23:43:54.709071+00,48,2026-07-15 23:43:54.709071+00,1
mock_1_communication,6,student1,2,mentor1,AI Mock Interview,communication,2026-07-12 23:43:54.709071+00,49,2026-06-23 23:43:54.709071+00,58,2026-07-15 23:43:54.709071+00,9
mock_2_communication,7,student2,3,mentor2,AI Mock Interview,communication,2026-07-13 23:43:54.709071+00,53,2026-06-23 23:43:54.709071+00,59,2026-07-15 23:43:54.709071+00,6
mock_3_communication,8,student3,4,mentor3,AI Mock Interview,communication,2026-07-14 23:43:54.709071+00,60,2026-06-23 23:43:54.709071+00,62,2026-07-15 23:43:54.709071+00,2
mock_4_communication,9,student4,5,mentor4,AI Mock Interview,communication,2026-07-15 23:43:54.709071+00,57,2026-06-23 23:43:54.709071+00,73,2026-08-06 23:43:54.709071+00,16
mock_5_communication,10,student5,2,mentor1,AI Mock Interview,communication,2026-07-16 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,71,2026-08-06 23:43:54.709071+00,4
mock_6_communication,11,student6,3,mentor2,AI Mock Interview,communication,2026-07-17 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,70,2026-08-06 23:43:54.709071+00,2
mock_7_communication,12,student7,4,mentor3,AI Mock Interview,communication,2026-07-18 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,72,2026-08-06 23:43:54.709071+00,4
mock_8_communication,13,student8,5,mentor4,AI Mock Interview,communication,2026-07-11 23:43:54.709071+00,76,2026-06-23 23:43:54.709071+00,81,2026-07-15 23:43:54.709071+00,5
mock_9_communication,14,student9,2,mentor1,AI Mock Interview,communication,2026-07-12 23:43:54.709071+00,72,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,2
mock_10_communication,15,student10,3,mentor2,AI Mock Interview,communication,2026-07-13 23:43:54.709071+00,50,2026-06-23 23:43:54.709071+00,50,2026-07-15 23:43:54.709071+00,0
mock_11_communication,16,student11,4,mentor3,AI Mock Interview,communication,2026-07-14 23:43:54.709071+00,50,2026-06-23 23:43:54.709071+00,52,2026-07-15 23:43:54.709071+00,2
mock_12_communication,17,student12,5,mentor4,AI Mock Interview,communication,2026-07-15 23:43:54.709071+00,57,2026-06-23 23:43:54.709071+00,63,2026-08-06 23:43:54.709071+00,6
mock_13_communication,18,student13,2,mentor1,AI Mock Interview,communication,2026-07-16 23:43:54.709071+00,56,2026-07-15 23:43:54.709071+00,61,2026-08-06 23:43:54.709071+00,5
mock_14_communication,19,student14,3,mentor2,AI Mock Interview,communication,2026-07-17 23:43:54.709071+00,56,2026-07-15 23:43:54.709071+00,56,2026-08-06 23:43:54.709071+00,0
mock_15_communication,20,student15,4,mentor3,AI Mock Interview,communication,2026-07-18 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,72,2026-08-06 23:43:54.709071+00,-2
mock_16_communication,21,student16,5,mentor4,AI Mock Interview,communication,2026-07-11 23:43:54.709071+00,67,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,7
mock_17_communication,22,student17,2,mentor1,AI Mock Interview,communication,2026-07-12 23:43:54.709071+00,67,2026-06-23 23:43:54.709071+00,73,2026-07-15 23:43:54.709071+00,6
mock_18_communication,23,student18,3,mentor2,AI Mock Interview,communication,2026-07-13 23:43:54.709071+00,75,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,-1
mock_19_communication,24,student19,4,mentor3,AI Mock Interview,communication,2026-07-14 23:43:54.709071+00,69,2026-06-23 23:43:54.709071+00,79,2026-07-15 23:43:54.709071+00,10
mock_20_communication,25,student20,5,mentor4,AI Mock Interview,communication,2026-07-15 23:43:54.709071+00,50,2026-06-23 23:43:54.709071+00,56,2026-08-06 23:43:54.709071+00,6
mock_1_project_depth,6,student1,2,mentor1,AI Mock Interview,project_depth,2026-07-12 23:43:54.709071+00,51,2026-06-23 23:43:54.709071+00,61,2026-07-15 23:43:54.709071+00,10
mock_2_project_depth,7,student2,3,mentor2,AI Mock Interview,project_depth,2026-07-13 23:43:54.709071+00,57,2026-06-23 23:43:54.709071+00,65,2026-07-15 23:43:54.709071+00,8
mock_3_project_depth,8,student3,4,mentor3,AI Mock Interview,project_depth,2026-07-14 23:43:54.709071+00,57,2026-06-23 23:43:54.709071+00,59,2026-07-15 23:43:54.709071+00,2
mock_4_project_depth,9,student4,5,mentor4,AI Mock Interview,project_depth,2026-07-15 23:43:54.709071+00,54,2026-06-23 23:43:54.709071+00,77,2026-08-06 23:43:54.709071+00,23
mock_5_project_depth,10,student5,2,mentor1,AI Mock Interview,project_depth,2026-07-16 23:43:54.709071+00,69,2026-07-15 23:43:54.709071+00,73,2026-08-06 23:43:54.709071+00,4
mock_6_project_depth,11,student6,3,mentor2,AI Mock Interview,project_depth,2026-07-17 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,77,2026-08-06 23:43:54.709071+00,3
mock_7_project_depth,12,student7,4,mentor3,AI Mock Interview,project_depth,2026-07-18 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,65,2026-08-06 23:43:54.709071+00,-2
mock_8_project_depth,13,student8,5,mentor4,AI Mock Interview,project_depth,2026-07-11 23:43:54.709071+00,74,2026-06-23 23:43:54.709071+00,78,2026-07-15 23:43:54.709071+00,4
mock_9_project_depth,14,student9,2,mentor1,AI Mock Interview,project_depth,2026-07-12 23:43:54.709071+00,74,2026-06-23 23:43:54.709071+00,80,2026-07-15 23:43:54.709071+00,6
mock_10_project_depth,15,student10,3,mentor2,AI Mock Interview,project_depth,2026-07-13 23:43:54.709071+00,52,2026-06-23 23:43:54.709071+00,52,2026-07-15 23:43:54.709071+00,0
mock_11_project_depth,16,student11,4,mentor3,AI Mock Interview,project_depth,2026-07-14 23:43:54.709071+00,50,2026-06-23 23:43:54.709071+00,52,2026-07-15 23:43:54.709071+00,2
mock_12_project_depth,17,student12,5,mentor4,AI Mock Interview,project_depth,2026-07-15 23:43:54.709071+00,49,2026-06-23 23:43:54.709071+00,66,2026-08-06 23:43:54.709071+00,17
mock_13_project_depth,18,student13,2,mentor1,AI Mock Interview,project_depth,2026-07-16 23:43:54.709071+00,56,2026-07-15 23:43:54.709071+00,63,2026-08-06 23:43:54.709071+00,7
mock_14_project_depth,19,student14,3,mentor2,AI Mock Interview,project_depth,2026-07-17 23:43:54.709071+00,60,2026-07-15 23:43:54.709071+00,61,2026-08-06 23:43:54.709071+00,1
mock_15_project_depth,20,student15,4,mentor3,AI Mock Interview,project_depth,2026-07-18 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,72,2026-08-06 23:43:54.709071+00,4
mock_16_project_depth,21,student16,5,mentor4,AI Mock Interview,project_depth,2026-07-11 23:43:54.709071+00,65,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,9
mock_17_project_depth,22,student17,2,mentor1,AI Mock Interview,project_depth,2026-07-12 23:43:54.709071+00,66,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,8
mock_18_project_depth,23,student18,3,mentor2,AI Mock Interview,project_depth,2026-07-13 23:43:54.709071+00,69,2026-06-23 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,-1
mock_19_project_depth,24,student19,4,mentor3,AI Mock Interview,project_depth,2026-07-14 23:43:54.709071+00,77,2026-06-23 23:43:54.709071+00,83,2026-07-15 23:43:54.709071+00,6
mock_20_project_depth,25,student20,5,mentor4,AI Mock Interview,project_depth,2026-07-15 23:43:54.709071+00,44,2026-06-23 23:43:54.709071+00,59,2026-08-06 23:43:54.709071+00,15
mock_1_interview,6,student1,2,mentor1,AI Mock Interview,interview,2026-07-12 23:43:54.709071+00,49,2026-06-23 23:43:54.709071+00,50,2026-07-15 23:43:54.709071+00,1
mock_2_interview,7,student2,3,mentor2,AI Mock Interview,interview,2026-07-13 23:43:54.709071+00,47,2026-06-23 23:43:54.709071+00,55,2026-07-15 23:43:54.709071+00,8
mock_3_interview,8,student3,4,mentor3,AI Mock Interview,interview,2026-07-14 23:43:54.709071+00,55,2026-06-23 23:43:54.709071+00,62,2026-07-15 23:43:54.709071+00,7
mock_4_interview,9,student4,5,mentor4,AI Mock Interview,interview,2026-07-15 23:43:54.709071+00,60,2026-06-23 23:43:54.709071+00,64,2026-08-06 23:43:54.709071+00,4
mock_5_interview,10,student5,2,mentor1,AI Mock Interview,interview,2026-07-16 23:43:54.709071+00,62,2026-07-15 23:43:54.709071+00,68,2026-08-06 23:43:54.709071+00,6
mock_6_interview,11,student6,3,mentor2,AI Mock Interview,interview,2026-07-17 23:43:54.709071+00,62,2026-07-15 23:43:54.709071+00,74,2026-08-06 23:43:54.709071+00,12
mock_7_interview,12,student7,4,mentor3,AI Mock Interview,interview,2026-07-18 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,65,2026-08-06 23:43:54.709071+00,-2
mock_8_interview,13,student8,5,mentor4,AI Mock Interview,interview,2026-07-11 23:43:54.709071+00,72,2026-06-23 23:43:54.709071+00,72,2026-07-15 23:43:54.709071+00,0
mock_9_interview,14,student9,2,mentor1,AI Mock Interview,interview,2026-07-12 23:43:54.709071+00,68,2026-06-23 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,-1
mock_10_interview,15,student10,3,mentor2,AI Mock Interview,interview,2026-07-13 23:43:54.709071+00,42,2026-06-23 23:43:54.709071+00,54,2026-07-15 23:43:54.709071+00,12
mock_11_interview,16,student11,4,mentor3,AI Mock Interview,interview,2026-07-14 23:43:54.709071+00,43,2026-06-23 23:43:54.709071+00,50,2026-07-15 23:43:54.709071+00,7
mock_12_interview,17,student12,5,mentor4,AI Mock Interview,interview,2026-07-15 23:43:54.709071+00,48,2026-06-23 23:43:54.709071+00,53,2026-08-06 23:43:54.709071+00,5
mock_13_interview,18,student13,2,mentor1,AI Mock Interview,interview,2026-07-16 23:43:54.709071+00,59,2026-07-15 23:43:54.709071+00,70,2026-08-06 23:43:54.709071+00,11
mock_14_interview,19,student14,3,mentor2,AI Mock Interview,interview,2026-07-17 23:43:54.709071+00,56,2026-07-15 23:43:54.709071+00,57,2026-08-06 23:43:54.709071+00,1
mock_15_interview,20,student15,4,mentor3,AI Mock Interview,interview,2026-07-18 23:43:54.709071+00,65,2026-07-15 23:43:54.709071+00,69,2026-08-06 23:43:54.709071+00,4
mock_16_interview,21,student16,5,mentor4,AI Mock Interview,interview,2026-07-11 23:43:54.709071+00,63,2026-06-23 23:43:54.709071+00,66,2026-07-15 23:43:54.709071+00,3
mock_17_interview,22,student17,2,mentor1,AI Mock Interview,interview,2026-07-12 23:43:54.709071+00,63,2026-06-23 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,5
mock_18_interview,23,student18,3,mentor2,AI Mock Interview,interview,2026-07-13 23:43:54.709071+00,69,2026-06-23 23:43:54.709071+00,70,2026-07-15 23:43:54.709071+00,1
mock_19_interview,24,student19,4,mentor3,AI Mock Interview,interview,2026-07-14 23:43:54.709071+00,67,2026-06-23 23:43:54.709071+00,79,2026-07-15 23:43:54.709071+00,12
mock_20_interview,25,student20,5,mentor4,AI Mock Interview,interview,2026-07-15 23:43:54.709071+00,42,2026-06-23 23:43:54.709071+00,54,2026-08-06 23:43:54.709071+00,12
